train_acc,step,epoch,train_loss,val_acc,val_loss
0.5,2799,21,1.1052577495574951,,
0.4375,2815,21,1.0815060138702393,,
0.5625,2831,21,0.9490943551063538,,
0.4375,2847,21,1.0338791608810425,,
0.28125,2863,21,1.2414441108703613,,
0.625,2879,21,0.8729978799819946,,
,2881,21,,0.4928571283817291,1.0195324420928955
0.40625,2895,22,1.0844238996505737,,
0.53125,2911,22,1.0691851377487183,,
0.4375,2927,22,0.8761682510375977,,
0.375,2943,22,1.1441256999969482,,
0.78125,2959,22,0.6884243488311768,,
0.40625,2975,22,1.0891592502593994,,
0.53125,2991,22,1.0515601634979248,,
0.75,3007,22,0.7456452250480652,,
,3012,22,,0.4863095283508301,1.0172549486160278
0.34375,3023,23,1.0585112571716309,,
0.4375,3039,23,1.1159112453460693,,
0.59375,3055,23,0.9526268243789673,,
0.4375,3071,23,1.0245128870010376,,
0.5,3087,23,0.8449981212615967,,
0.53125,3103,23,0.9137899875640869,,
0.71875,3119,23,0.8178725242614746,,
0.375,3135,23,1.178257703781128,,
,3143,23,,0.494047611951828,1.015769124031067
0.5,3151,24,0.9567522406578064,,
0.53125,3167,24,0.9540451765060425,,
0.6875,3183,24,0.7419283390045166,,
0.25,3199,24,1.176841378211975,,
0.4375,3215,24,1.1082302331924438,,
0.65625,3231,24,0.816259503364563,,
0.53125,3247,24,0.97076416015625,,
0.46875,3263,24,1.055232048034668,,
,3274,24,,0.4702380895614624,1.0283639430999756
0.34375,3279,25,0.9912639856338501,,
0.46875,3295,25,1.1291753053665161,,
0.46875,3311,25,1.0887012481689453,,
0.625,3327,25,0.8624948263168335,,
0.46875,3343,25,0.9794459939002991,,
0.4375,3359,25,1.1711260080337524,,
0.71875,3375,25,0.7653509974479675,,
0.46875,3391,25,1.0483264923095703,,
,3405,25,,0.48571428656578064,1.015616536140442
0.4375,3407,26,1.0659902095794678,,
0.5625,3423,26,0.9771503210067749,,
0.40625,3439,26,1.0959473848342896,,
0.4375,3455,26,0.8876660466194153,,
0.75,3471,26,0.8898343443870544,,
0.375,3487,26,1.1261999607086182,,
0.71875,3503,26,1.0601789951324463,,
0.46875,3519,26,1.0610429048538208,,
0.34375,3535,26,1.1936794519424438,,
,3536,26,,0.47976189851760864,1.0205835103988647
0.53125,3551,27,0.9516552090644836,,
0.59375,3567,27,0.8453832864761353,,
0.4375,3583,27,0.9658297300338745,,
0.53125,3599,27,1.0104680061340332,,
0.5,3615,27,0.9283755421638489,,
0.5625,3631,27,0.9541388154029846,,
0.65625,3647,27,0.9328756928443909,,
0.375,3663,27,0.9829337000846863,,
,3667,27,,0.4803571403026581,1.0255086421966553
0.3125,3679,28,1.133792757987976,,
0.5625,3695,28,0.9479024410247803,,
0.53125,3711,28,0.7835645079612732,,
0.625,3727,28,0.827208399772644,,
0.59375,3743,28,0.8342456817626953,,
0.5,3759,28,1.0336898565292358,,
0.5,3775,28,0.8934770822525024,,
0.71875,3791,28,0.7347725033760071,,
,3798,28,,0.48750001192092896,1.033926248550415
0.5625,3807,29,0.8917877078056335,,
0.40625,3823,29,1.0540714263916016,,
0.6875,3839,29,0.7502782940864563,,
0.5625,3855,29,0.9753778576850891,,
0.59375,3871,29,0.8182417154312134,,
0.53125,3887,29,0.8944488763809204,,
0.625,3903,29,0.850699782371521,,
0.625,3919,29,0.8735894560813904,,
,3929,29,,0.5,1.0237482786178589
0.5,3935,30,1.0070216655731201,,
0.5,3951,30,1.038243055343628,,
0.46875,3967,30,1.0881664752960205,,
0.5625,3983,30,0.9403700828552246,,
0.375,3999,30,1.4827313423156738,,
0.53125,4015,30,1.0116112232208252,,
0.5625,4031,30,0.9331080913543701,,
0.65625,4047,30,0.8927783370018005,,
,4060,30,,0.488095223903656,1.0223426818847656
0.5,4063,31,0.8592815399169922,,
0.5625,4079,31,0.9483703374862671,,
0.59375,4095,31,0.9797351956367493,,
0.46875,4111,31,1.0636762380599976,,
0.5,4127,31,0.9400297403335571,,
0.59375,4143,31,0.8887067437171936,,
0.375,4159,31,1.106752634048462,,
0.5625,4175,31,0.9998199939727783,,
0.375,4191,31,1.1802477836608887,,
,4191,31,,0.49166667461395264,1.0205720663070679
0.375,4207,32,1.0815824270248413,,
0.40625,4223,32,0.9568288326263428,,
0.5,4239,32,1.065893530845642,,
0.5625,4255,32,0.9622709155082703,,
0.46875,4271,32,1.0443309545516968,,
0.46875,4287,32,0.980178952217102,,
0.625,4303,32,0.9333385825157166,,
0.5,4319,32,1.0842047929763794,,
,4322,32,,0.4958333373069763,1.0155003070831299
0.46875,4335,33,0.8890923261642456,,
0.5625,4351,33,0.9173359870910645,,
0.625,4367,33,0.8061082363128662,,
0.5,4383,33,1.057116985321045,,
0.625,4399,33,0.7836008667945862,,
0.3125,4415,33,1.217628002166748,,
0.5625,4431,33,0.847460925579071,,
0.34375,4447,33,1.120315670967102,,
,4453,33,,0.49047619104385376,1.0022283792495728
0.6875,4463,34,0.7928481101989746,,
0.59375,4479,34,0.8944394588470459,,
0.46875,4495,34,1.0770319700241089,,
0.5625,4511,34,0.889427125453949,,
0.5625,4527,34,0.82703697681427,,
0.53125,4543,34,0.8698543906211853,,
0.5,4559,34,0.9418290257453918,,
0.5625,4575,34,0.9233324527740479,,
,4584,34,,0.4898809492588043,1.0098036527633667
0.5,4591,35,0.9795495271682739,,
0.28125,4607,35,1.1729917526245117,,
0.53125,4623,35,1.0109986066818237,,
0.53125,4639,35,1.0507805347442627,,
0.375,4655,35,0.9060387015342712,,
0.59375,4671,35,0.9140216112136841,,
0.34375,4687,35,1.1272778511047363,,
0.5625,4703,35,1.0124799013137817,,
,4715,35,,0.4833333194255829,1.0109171867370605
0.6875,4719,36,0.819716215133667,,
0.5,4735,36,0.987890899181366,,
0.40625,4751,36,1.1100218296051025,,
0.375,4767,36,0.9496901035308838,,
0.53125,4783,36,1.003879427909851,,
0.40625,4799,36,1.0450743436813354,,
0.625,4815,36,1.0203475952148438,,
0.34375,4831,36,1.1021778583526611,,
,4846,36,,0.4892857074737549,1.0244274139404297
0.40625,4847,37,1.0406544208526611,,
0.5,4863,37,0.8980674743652344,,
0.5625,4879,37,1.1036882400512695,,
0.53125,4895,37,1.1073777675628662,,
0.4375,4911,37,1.10700261592865,,
0.65625,4927,37,0.9659420251846313,,
0.4375,4943,37,1.0206218957901,,
0.28125,4959,37,1.2234094142913818,,
0.5625,4975,37,0.9590036869049072,,
,4977,37,,0.5011904835700989,1.0123953819274902
0.375,4991,38,1.1141064167022705,,
0.53125,5007,38,1.0293551683425903,,
0.53125,5023,38,0.8558829426765442,,
0.375,5039,38,1.162032961845398,,
0.59375,5055,38,0.7438494563102722,,
0.34375,5071,38,1.0839002132415771,,
0.53125,5087,38,1.082026720046997,,
0.84375,5103,38,0.6993319392204285,,
,5108,38,,0.4970238208770752,1.0133174657821655
0.4375,5119,39,1.0653200149536133,,
0.4375,5135,39,1.1123169660568237,,
0.5625,5151,39,0.9339454174041748,,
0.4375,5167,39,0.9925780296325684,,
0.53125,5183,39,0.8160356283187866,,
0.40625,5199,39,0.9764310717582703,,
0.71875,5215,39,0.7943589687347412,,
0.375,5231,39,1.1965659856796265,,
,5239,39,,0.5023809671401978,1.0162007808685303
0.5,5247,40,1.0189508199691772,,
0.5,5263,40,0.9561006426811218,,
0.6875,5279,40,0.7542052268981934,,
0.28125,5295,40,1.275201439857483,,
0.4375,5311,40,1.108662486076355,,
0.65625,5327,40,0.8378591537475586,,
0.53125,5343,40,0.996284544467926,,
0.5625,5359,40,1.0262047052383423,,
,5370,40,,0.4928571283817291,1.0073438882827759
0.375,5375,41,0.9371357560157776,,
0.40625,5391,41,1.1302752494812012,,
0.3125,5407,41,1.098758339881897,,
0.625,5423,41,0.8527382612228394,,
0.46875,5439,41,0.9618422389030457,,
0.46875,5455,41,1.144055962562561,,
0.71875,5471,41,0.7829030156135559,,
0.46875,5487,41,1.024251103401184,,
,5501,41,,0.488095223903656,1.003140926361084
0.375,5503,42,1.0927809476852417,,
0.5,5519,42,0.9719704985618591,,
0.40625,5535,42,1.1004201173782349,,
0.46875,5551,42,0.8942829370498657,,
0.6875,5567,42,0.8603217601776123,,
0.3125,5583,42,1.155407190322876,,
0.71875,5599,42,1.0107792615890503,,
0.4375,5615,42,1.062097191810608,,
0.28125,5631,42,1.1893149614334106,,
,5632,42,,0.4910714328289032,1.0048425197601318
0.53125,5647,43,0.9204064011573792,,
0.5625,5663,43,0.8821120262145996,,
0.4375,5679,43,0.9681936502456665,,
0.5,5695,43,0.9822981953620911,,
0.46875,5711,43,0.9640945792198181,,
0.59375,5727,43,0.9560242295265198,,
0.625,5743,43,0.9564899206161499,,
0.46875,5759,43,0.9360848069190979,,
,5763,43,,0.49166667461395264,1.007196307182312
0.4375,5775,44,1.1197242736816406,,
0.5625,5791,44,0.9579785466194153,,
0.46875,5807,44,0.8031747937202454,,
0.5,5823,44,0.8422676920890808,,
0.5625,5839,44,0.8506858944892883,,
0.46875,5855,44,1.0427347421646118,,
0.5,5871,44,0.8947469592094421,,
0.71875,5887,44,0.7971509695053101,,
,5894,44,,0.4851190447807312,1.0034537315368652
0.5625,5903,45,0.9107228517532349,,
0.40625,5919,45,1.0168659687042236,,
0.6875,5935,45,0.7204069495201111,,
0.5625,5951,45,0.9845722913742065,,
0.46875,5967,45,0.8379379510879517,,
0.53125,5983,45,0.8936557173728943,,
0.5625,5999,45,0.9168331027030945,,
0.5625,6015,45,0.8712430000305176,,
,6025,45,,0.4898809492588043,1.0060654878616333
0.53125,6031,46,1.0023614168167114,,
0.53125,6047,46,1.0057486295700073,,
0.46875,6063,46,1.0902295112609863,,
0.53125,6079,46,0.9286681413650513,,
0.34375,6095,46,1.377556562423706,,
0.4375,6111,46,1.0614550113677979,,
0.5625,6127,46,0.9178839921951294,,
0.5,6143,46,0.9056512117385864,,
,6156,46,,0.5029761791229248,1.0086562633514404
0.5,6159,47,0.8719168901443481,,
